sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"modifiedQty";"productionArea";"v1_forecast";"v2_forecast";
"304";"null";"null";"2021-10-20";"8:00AM";"105348994";"null";"null";"390";"3";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"105349022";"null";"null";"390";"3";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"105453541";"null";"null";"390";"2";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"105810149";"null";"null";"390";"28";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"105810261";"null";"null";"390";"30";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"106795201";"null";"null";"390";"6";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"106795825";"null";"null";"390";"2";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"106796035";"null";"null";"390";"2";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"107266431";"null";"null";"390";"5";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"108812617";"null";"null";"390";"6";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"109807369";"null";"null";"390";"5";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"109821259";"null";"null";"390";"5";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"110280816";"null";"null";"390";"5";"n/a";
"304";"null";"null";"2021-10-20";"8:00AM";"110281069";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"103264421";"null";"null";"390";"5";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"103267824";"null";"null";"390";"0";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104284116";"null";"null";"390";"35";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104284132";"null";"null";"390";"7";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104284271";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104284280";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104288230";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104305589";"null";"null";"390";"30";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104305600";"null";"null";"390";"5";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104306047";"null";"null";"390";"5";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104306063";"null";"null";"390";"5";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104317301";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104317379";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104473179";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"104978599";"null";"null";"390";"30";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105018426";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105018451";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105033651";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105190120";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105348994";"null";"null";"390";"3";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105349022";"null";"null";"390";"3";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105453541";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105810149";"null";"null";"390";"28";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"105810261";"null";"null";"390";"30";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"106795201";"null";"null";"390";"6";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"106795825";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"106796035";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"107266431";"null";"null";"390";"5";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"108812617";"null";"null";"390";"0";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"109807369";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"109821259";"null";"null";"390";"2";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"110280816";"null";"null";"390";"4";"n/a";
"313";"null";"null";"2021-10-20";"8:00AM";"110281069";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"103264421";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"103267824";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104284116";"null";"null";"390";"25";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104284132";"null";"null";"390";"5";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104284271";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104284280";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104288230";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104305589";"null";"null";"390";"30";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104305600";"null";"null";"390";"5";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104306047";"null";"null";"390";"5";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104306063";"null";"null";"390";"5";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104317301";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104317379";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104473179";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"104978599";"null";"null";"390";"24";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105018426";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105018451";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105033651";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105190120";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105348994";"null";"null";"390";"1";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105349022";"null";"null";"390";"1";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105453541";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105810149";"null";"null";"390";"28";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"105810261";"null";"null";"390";"30";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"106795201";"null";"null";"390";"6";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"106795825";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"106796035";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"107266431";"null";"null";"390";"5";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"108812617";"null";"null";"390";"6";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"109807369";"null";"null";"390";"2";"n/a";
