sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"forecastedQty";"modifiedQty";"productionArea";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"105658239";"MIN: MORRISONS APPLE & CUSTARD LATTICE 2PK";"2";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"111026473";"MORRISONS TOFFEE PECAN SWIRL";"2";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"105658255";"MORRISONS ECCLES CAKE 2PK";"2";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"105658095";"MORRISONS CINNAMON SWIRL 2PK";"3";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"107733028";"MIN: MORRISONS PORTUGUESE TARTS 2 PACK";"3";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"105713197";"M Vanilla Creme Crowns 2 pack";"3";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"106779251";"MIN: MORRISONS MINI DANISH PASTRIES 5 PACK";"3";"null";"265";
"171";"Lindsayfield";"478519574";"2021-10-18";"Cake Monday 8am - 10am";"105658175";"MORRISONS PECAN PLAIT 2PK";"3";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"111813696";"MIN: MORRISONS STRAWBERRIES & CREAM WAFFLE BOWL";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630279";"MIN: MORRISONS FRESH CREAM CHOCOLATE SPONGE";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630308";"MIN: MORRISONS FRESH CREAM LARGE CHOCOLATE SPONGE";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630324";"MIN: MORRISONS FRESH CREAM STRAWBERRY BUTTERFLY SP";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105867487";"MIN: M FRESH CREAM BLACK FOREST GATEAU";"0";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"108887037";"MIN: MORRISONS MARKET ST LARGE RASPBERRY TRIFLE";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630252";"MIN: MORRISONS FRESH CREAM LARGE SPONGE";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630447";"MIN: MORRISONS PROFITEROLE BOWL DESSERT";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630236";"MORRISONS FRESH CREAM SPONGE";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630631";"MIN: MORRISONS MEDIUM STRAWBERRY FLAN";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109349388";"MORRISONS PEAR & ALMOND TART";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109726201";"MIN: MORRISONS STRAWBERRY & CREAM MERINGUES 2PK";"5";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105628718";"MIN: MORRISONS FRESH CREAM FRUITED SCONES 2PK";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105628494";"MIN: MORRISONS FRESH CREAM MERINGUES 2PK";"5";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630068";"MIN: MORRISONS FRESH CREAM BLACK CHERRY SUNDAE";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"108102261";"MORRISONS RASPBERRY TRIFLE";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630092";"MIN: MORRISONS THE BEST FRESH CREAM SCONE 2PK";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"108886691";"MIN: MORRISONS MARKET ST FRESH CREAM WHITE ICED FI";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109349257";"MORRISONS LEMON MERINGUE TART";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105713648";"MIN: M FRESH CREAM CHOCOLATE AND CHERRY MUFFINS 2P";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109357871";"MIN: MORRISONS BANOFFEE & FRESH CREAM WAFFLE";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"108102210";"MORRISONS MANDARIN TRIFLE";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"108405659";"MORRISONS FRESH CREAM PALMIER";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105629913";"MIN: MORRISONS FRESH CREAM VANILLA MUFFINS 2PK";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105629850";"MIN: MORRISONS FRESH CREAM STRAWBERRY SUNDAE";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"111393601";"MIN: MORRISONS FRESH CREAM BALL DOUGHNUTS 2 PACK";"4";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105630025";"MIN: MORRISONS FRESH CREAM PROFITEROLE SUNDAE";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105628646";"MIN: MORRISONS FRESH CREAM RASPBERRY TURNOVER 2PK";"5";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109368589";"MORRISONS BANOFFEE TART";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"105628620";"MIN: MORRISONS FRESH CREAM APPLE TURNOVERS 2PK";"5";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109368343";"MORRISONS MIXED FRUIT TART";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109368482";"MORRISONS STRAWBERRY TART";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"109758341";"MORRISONS MANGO TRIFLE";"1";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"111813725";"MIN: MORRISONS LOADED CHOCOLATE TOFFEE POPCORN CUP";"2";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"111813741";"MIN: MORRISONS LOADED STRAWBERRY SHORTCAKE CUPCAKE";"3";"null";"265";
"171";"Lindsayfield";"685603370";"2021-10-18";"Cake Monday 10am - 2pm";"112121835";"MIN: MORRISONS WINTERBERRY CHEESECAKE";"1";"null";"265";
