sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"modifiedQty";"productionArea";"v1_forecast";"v2_forecast";
"8";"null";"null";"2021-10-17";"09:30AM";"104341803";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"104343471";"null";"null";"392";"6";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"105901681";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108799563";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108799643";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108799731";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108799791";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108800552";"null";"null";"392";"10";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108800641";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108800704";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108801037";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108801125";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108810689";"null";"null";"392";"18";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108810785";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108810857";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108810929";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108810953";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108810996";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108811041";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108831640";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108831691";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108831762";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108831834";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108831914";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108836424";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108836512";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108836539";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108836601";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108836731";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108837179";"null";"null";"392";"0";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108838649";"null";"null";"392";"5";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"108865719";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109383359";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109383404";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109383447";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109383498";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109781091";"null";"null";"392";"0";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109838093";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-17";"09:30AM";"109838245";"null";"null";"392";"2";"n/a";
