sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"forecastedQty";"modifiedQty";"productionArea";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104284271";"'M' Plain Chicken Leg";"4";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104284280";"'M' 4 Plain Chicken Legs";"4";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104288230";"'M' Bacon Rib";"1";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104305600";"'M' Stout Chicken Thigh";"5";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104306047";"'M' Plain Chicken Drumstick";"5";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104306063";"'M' 4 Plain Chicken Drumsticks";"5";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"104473179";"'M' 4 Jumbo Sausages";"4";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"105033651";"Jumbo Pork Sausage (New)";"4";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"105190120";"'M' Plain Chicken Leg 2's";"4";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"105349022";"Gammon Shank";"3";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"106795825";"Large Plain Chicken Breast x 2";"2";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"106796035";"Large Plain Chicken Breast";"2";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"107266431";"M Stout Chicken Thighs 5's";"5";"null";"390";
"8";"Thornbury";"1804077863";"2021-10-18";"10:00AM";"109821259";"MORRISONS CUMBERLAND SAUSAGE";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"103264421";"Sausage Sandwich";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"103267824";"Bacon Sandwich";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104284132";"'M' 4 Texan Chicken Wings";"5";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104284271";"'M' Plain Chicken Leg";"4";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104284280";"'M' 4 Plain Chicken Legs";"4";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104288230";"'M' Bacon Rib";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104305600";"'M' Stout Chicken Thigh";"5";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104306047";"'M' Plain Chicken Drumstick";"5";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104306063";"'M' 4 Plain Chicken Drumsticks";"5";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104317301";"MIN: 'M' Extra Tasty British Chicken";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104317379";"'M' Roast British Chicken";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"104473179";"'M' 4 Jumbo Sausages";"4";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"105018426";"MIN: 'M' Extra Tasty British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"105018451";"MIN: 'M' Roast British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"105033651";"Jumbo Pork Sausage (New)";"4";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"105190120";"'M' Plain Chicken Leg 2's";"4";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"106795825";"Large Plain Chicken Breast x 2";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"106796035";"Large Plain Chicken Breast";"2";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"107266431";"M Stout Chicken Thighs 5's";"5";"null";"390";
"8";"Thornbury";"1820635570";"2021-10-18";"12:00PM";"109821259";"MORRISONS CUMBERLAND SAUSAGE";"3";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"103264421";"Sausage Sandwich";"1";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"103267824";"Bacon Sandwich";"2";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"104317301";"MIN: 'M' Extra Tasty British Chicken";"2";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"104317379";"'M' Roast British Chicken";"2";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"105018426";"MIN: 'M' Extra Tasty British Chicken VAT FREE";"3";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"105018451";"MIN: 'M' Roast British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"109315591";"MORRISONS 5 RIBS OF FIRE";"1";"null";"390";
"8";"Thornbury";"1393700023";"2021-10-18";"2:00PM";"109315612";"MORRISONS 10 RIBS OF FIRE";"1";"null";"390";
"8";"Thornbury";"1010235895";"2021-10-18";"4:00PM";"103264421";"Sausage Sandwich";"1";"null";"390";
"8";"Thornbury";"1010235895";"2021-10-18";"4:00PM";"103267824";"Bacon Sandwich";"2";"null";"390";
"8";"Thornbury";"1010235895";"2021-10-18";"4:00PM";"104317301";"MIN: 'M' Extra Tasty British Chicken";"2";"null";"390";
"8";"Thornbury";"1010235895";"2021-10-18";"4:00PM";"104317379";"'M' Roast British Chicken";"2";"null";"390";
"8";"Thornbury";"1010235895";"2021-10-18";"4:00PM";"105018426";"MIN: 'M' Extra Tasty British Chicken VAT FREE";"3";"null";"390";
"8";"Thornbury";"1010235895";"2021-10-18";"4:00PM";"105018451";"MIN: 'M' Roast British Chicken VAT FREE";"3";"null";"390";
"8";"Thornbury";"1041374383";"2021-10-18";"6:00PM";"104317301";"MIN: 'M' Extra Tasty British Chicken";"2";"null";"390";
"8";"Thornbury";"1041374383";"2021-10-18";"6:00PM";"104317379";"'M' Roast British Chicken";"3";"null";"390";
"8";"Thornbury";"1041374383";"2021-10-18";"6:00PM";"105018426";"MIN: 'M' Extra Tasty British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1041374383";"2021-10-18";"6:00PM";"105018451";"MIN: 'M' Roast British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"103264421";"Sausage Sandwich";"1";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"103267824";"Bacon Sandwich";"2";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104284132";"'M' 4 Texan Chicken Wings";"5";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104284271";"'M' Plain Chicken Leg";"4";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104284280";"'M' 4 Plain Chicken Legs";"4";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104288230";"'M' Bacon Rib";"1";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104305600";"'M' Stout Chicken Thigh";"5";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104306047";"'M' Plain Chicken Drumstick";"5";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104306063";"'M' 4 Plain Chicken Drumsticks";"5";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104317301";"MIN: 'M' Extra Tasty British Chicken";"2";"null";"390";
"8";"Thornbury";"1210610569";"2021-10-19";"8:00AM";"104317379";"'M' Roast British Chicken";"2";"null";"390";
