Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
8,390,828880,10/12/2021,107266431,MIN: MORRISONS STOUT CHICKEN THIGHS 5'S,5,,,,,5,
8,390,828880,10/12/2021,108812617,M Oven Fresh Bacon,6,,,,,6,
8,390,828880,10/12/2021,109807369,CUMBERLAND SAUSAGE (FRYABLE),2,,,,,2,
8,390,828880,10/12/2021,109821259,MIN: MORRISONS CUMBERLAND SAUSAGE,2,,,,,2,
8,390,828880,10/12/2021,110280816,EXTRA TASTY WHOLE CHICKEN,4,,,,,4,
8,390,828880,10/12/2021,110281069,PLAIN WHOLE CHICKEN 1.25-1.4KG,4,,,,,4,
8,390,829777,10/12/2021,103264421,MIN: Sausage Sandwich,2,,,,,2,
8,390,829777,10/12/2021,103267824,MIN: Bacon Sandwich,2,,,,,2,
8,390,829777,10/12/2021,104284116,Texan BBQ Chicken Wings,25,,,,,25,
8,390,829777,10/12/2021,104284132,MIN: 'M' 5 Texan Chicken Wings,5,,,,,5,
8,390,829777,10/12/2021,104284271,MIN: 'M' Plain Chicken Leg,4,,,,,4,
8,390,829777,10/12/2021,104284280,MIN: 'M' 4 Plain Chicken Legs,4,,,,,4,
8,390,829777,10/12/2021,104288230,MIN: 'M' Bacon Rib,2,,,,,2,
8,390,829777,10/12/2021,104305589,M' STOUT CHICKEN THIGH,30,,,,,30,
8,390,829777,10/12/2021,104305600,MIN: 'M' Stout Chicken Thigh,5,,,,,5,
8,390,829777,10/12/2021,104305765,MIN: 'M' Plain Chicken Thigh,3,,,,,3,
8,390,829777,10/12/2021,104305773,MIN: 'M' 5 Plain Chicken Thighs,2,,,,,2,
8,390,829777,10/12/2021,104306047,MIN: 'M' Plain Chicken Drumstick,5,,,,,5,
8,390,829777,10/12/2021,104306063,MIN: 'M' 5 Plain Chicken Drumsticks,5,,,,,5,
8,390,829777,10/12/2021,104317301,MIN: 'M' Extra Tasty British Chicken,2,,,,,2,
8,390,829777,10/12/2021,104317379,MIN: 'M' Roast British Chicken,2,,,,,2,
8,390,829777,10/12/2021,104473179,MIN: 'M' 4 Jumbo Sausages,4,,,,,4,
8,390,829777,10/12/2021,104978599,JUMBO PORK SAUSAGE,25,,,,,25,
8,390,829777,10/12/2021,105018426,MIN: 'M' Extra Tasty British Chicken VAT FREE,2,,,,,2,
8,390,829777,10/12/2021,105018451,MIN: 'M' Roast British Chicken VAT FREE,5,,,,,5,
8,390,829777,10/12/2021,105033651,MIN: Jumbo Pork Sausage (New),5,,,,,5,
8,390,829777,10/12/2021,105190120,MIN: 'M' Plain Chicken Leg 2's,4,,,,,4,
8,390,829777,10/12/2021,105348927,RIBS OF FIRE,40,,,,,40,
8,390,829777,10/12/2021,105348994,GAMMON SHANK,4,,,,,4,
8,390,829777,10/12/2021,105349022,MIN: Gammon Shank,4,,,,,4,
8,390,829777,10/12/2021,105453541,BACON RIB,2,,,,,2,
8,390,829777,10/12/2021,105810149,PLAIN CHICKEN LEG,28,,,,,28,
8,390,829777,10/12/2021,105810211,PLAIN CHICKEN THIGH,13,,,,,13,
8,390,829777,10/12/2021,105810261,PLAIN CHICKEN DRUMSTICK,30,,,,,30,
8,390,829777,10/12/2021,106795201,LARGE PLAIN CHICKEN BREAST,6,,,,,6,
8,390,829777,10/12/2021,106795825,MIN: MORRISONS LARGE PLAIN CHICKEN BREAST X 2,2,,,,,2,
8,390,829777,10/12/2021,106796035,MIN: MORRISONS LARGE PLAIN CHICKEN BREAST,2,,,,,2,
8,390,829777,10/12/2021,107266431,MIN: MORRISONS STOUT CHICKEN THIGHS 5'S,5,,,,,5,
8,390,829777,10/12/2021,108812617,M Oven Fresh Bacon,6,,,,,6,
8,390,829777,10/12/2021,109315479,MIN: MORRISONS CHINESE CHICKEN THIGH,1,,,,,1,
8,390,829777,10/12/2021,109315495,MIN: MORRISONS 5 CHINESE CHICKEN THIGHS,1,,,,,1,
8,390,829777,10/12/2021,109315591,MIN: MORRISONS 5 RIBS OF FIRE,2,,,,,2,
8,390,829777,10/12/2021,109315612,MIN: MORRISONS 10 RIBS OF FIRE,3,,,,,3,
8,390,829777,10/12/2021,109386226,Chinese Thigh,6,,,,,6,
