Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
8,392,848767,10/17/2021,110941215,MIN: MORRISONS 2 BREAKFAST SLICES,2,,,,,,
8,392,848767,10/17/2021,111790631,MIN: MORRISONS CHEESE FEAST RECTANGLE PIZZA,1,,,,,,
8,392,848767,10/17/2021,111790658,MIN: MORRISONS PEPPERONI RECTANGLE PIZZA,1,,,,,,
8,392,848767,10/17/2021,111790691,MIN: MORRISONS VEG SURPEME RECTANGLE PIZZA,1,,,,,,
8,392,848767,10/17/2021,111922278,MIN: MORRISONS 2 CHICKEN BAKE,0,,,,,,
304,392,849129,10/17/2021,104341803,(B) M Chunky Steak Pie,4,,,,,,
304,392,849129,10/17/2021,104343471,(B) M Steak Slice,4,,,,,,
304,392,849129,10/17/2021,105901681,(B) Family Apple Pie,1,,,,,,
304,392,849129,10/17/2021,108799563,(B) MORRISONS FAMILY MORELLO CHERRY PIE 540G,2,,,,,,
304,392,849129,10/17/2021,108799643,MIN: MORRISONS FAMILY MORELLO CHERRY PIE 540G,2,,,,,,
304,392,849129,10/17/2021,108799731,(B) MORRISONS FAMILY RHUBARB PIE 540G,2,,,,,,
304,392,849129,10/17/2021,108799791,MIN: MORRISONS FAMILY RHUBARB PIE 540G,2,,,,,,
304,392,849129,10/17/2021,108800552,(B) MORRISONS CHEESE & ONION ROLL,8,,,,,,
304,392,849129,10/17/2021,108800641,MIN: MORRISONS CHEESE & ONION ROLL 4PK,2,,,,,,
304,392,849129,10/17/2021,108810689,(B) MORRISONS PORK SAUSAGE ROLL,8,,,,,,
304,392,849129,10/17/2021,108810785,MIN: MORRISONS PORK SAUSAGE ROLLS 4PK,2,,,,,,
304,392,849129,10/17/2021,108810929,(B) MORRISONS SNACK PORK SAUSAGE ROLL,24,,,,,,
304,392,849129,10/17/2021,108810970,MIN: MORRISONS SNACK PORK SAUSAGE ROLLS 8PK,3,,,,,,
304,392,849129,10/17/2021,108831914,MIN: MORRISONS CHUNKY STEAK PIES 2PK,2,,,,,,
304,392,849129,10/17/2021,108836512,MIN: MORRISONS STEAK SLICES 2PK,2,,,,,,
304,392,849129,10/17/2021,108836731,MIN: MORRISONS FAMILY BRAMLEY APPLE PIE,1,,,,,,
