Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
171,273,848557,10/17/2021,104736813,MIN: Red Pepper/Mozzarella Piazza,0,,,,,0,
171,273,848557,10/17/2021,104737891,MIN: Sandwich Baguette White 4PK,0,,,,,0,
171,273,848557,10/17/2021,104737939,MIN: M Large White Baps 6pk,0,,,46,,0,
171,273,848557,10/17/2021,104738026,MIN: Farmhouse/White Bread 800g,0,,,5,,0,
171,273,848557,10/17/2021,104738042,MIN: M Burger Sesame Bun 4 pack,0,,,7,,0,
171,273,848557,10/17/2021,104738069,MORRISONS WHITE FARMHOUSE 400G,4,,,4,,4,
171,273,848557,10/17/2021,104738131,MIN: M Large Tiger Baps 6 Pack,0,,,18,,0,
171,273,848557,10/17/2021,104738245,MIN: Organic White Loaf 400g,1,,,,,1,
171,273,848557,10/17/2021,104738296,MORRISONS COBURG COB 400G,0,,,2,,0,
171,273,848557,10/17/2021,104738317,MIN: Wheat Spelt & Rye Bread 400g,3,,,4,,3,
171,273,848557,10/17/2021,104738325,MIN: Chocolate Twist 2 Pack,0,,,,,0,
171,273,848557,10/17/2021,104739424,MIN: MORRISONS THE BEST FRUIT SCONES 4 PACK,16,,,13,,16,
171,273,848557,10/17/2021,104739619,MIN: SCOTTISH CRUMPETS 6 PACK,9,,,6,,9,
171,273,848557,10/17/2021,104739643,MIN: PLAIN PANCAKES 6PK,26,,,18,,26,
171,273,848557,10/17/2021,104740100,MORRISONS THE BEST STONEBAKED BROWN SOURDOUGH BLOO,1,,,,,1,
171,273,848557,10/17/2021,104740134,MIN:  Levain Sourdough 600g Sliced,0,,,,,0,
171,273,848557,10/17/2021,104740564,MIN: MORRISONS THE BEST STONEBAKED MULTIGRAIN BREA,2,,,,,2,
171,273,848557,10/17/2021,104742025,MIN: M Finger Rolls White 6 pack (L),0,,,25,,0,
171,273,848557,10/17/2021,104742480,MIN: M Sub Rolls White Bread 4 pack (L),0,,,6,,0,
171,273,848557,10/17/2021,104742501,MIN: M Large Baps Cheese/Onion 4pk (L),0,,,3,,0,
171,273,848557,10/17/2021,104742869,MIN: M Large Granary Baps 6 pack (L),0,,,2,,0,
171,273,848557,10/17/2021,104744178,MIN: M Large Baps/ Wholemeal 6 pack,0,,,2,,0,
171,273,848557,10/17/2021,104744573,MIN: M Crusty Rolls 6 pack,2,,,4,,2,
171,273,848557,10/17/2021,104744830,MIN: Potato Scones 6 Pack,40,,,88,,40,
171,273,848557,10/17/2021,104745445,MIN: Doughnuts/Raspberry Jam 2pk,0,,,,,0,
171,273,848557,10/17/2021,104745461,MIN: Doughnuts/Sugar Ring 6pk,4,,,5,,4,
171,273,848557,10/17/2021,104745576,MIN: Doughnuts/Raspberry 5pk,13,,,19,,13,
171,273,848557,10/17/2021,104745613,MIN: Doughnuts/Custard 5pk,7,,,9,,7,
171,273,848557,10/17/2021,104745630,MIN: Doughnuts/Strawberry 5pk,0,,,16,,0,
171,273,848557,10/17/2021,104745832,MIN: Iced Ring Doughnuts 4pk,0,,,,,0,
